[2025-10-02T04:53:41.964Z] WARN OPENAI_API_KEY is not set; /api/openai will return 500 until configured. Create a .env file (see .env.example) with OPENAI_API_KEY=your_key
[2025-10-02T04:53:41.975Z] START Listening http://localhost:3000
[2025-10-02T04:54:41.972Z] HEARTBEAT alive pid=71968
[2025-10-02T04:55:41.973Z] HEARTBEAT alive pid=71968
[2025-10-02T04:56:41.973Z] HEARTBEAT alive pid=71968
[2025-10-02T04:57:41.974Z] HEARTBEAT alive pid=71968
[2025-10-02T04:58:41.976Z] HEARTBEAT alive pid=71968
[2025-10-02T04:59:41.978Z] HEARTBEAT alive pid=71968
[2025-10-02T05:00:41.979Z] HEARTBEAT alive pid=71968
[2025-10-02T05:01:41.981Z] HEARTBEAT alive pid=71968
[2025-10-02T05:02:41.982Z] HEARTBEAT alive pid=71968
[2025-10-02T05:03:41.982Z] HEARTBEAT alive pid=71968
[2025-10-02T05:04:41.984Z] HEARTBEAT alive pid=71968
[2025-10-02T05:05:41.985Z] HEARTBEAT alive pid=71968
[2025-10-02T05:06:41.986Z] HEARTBEAT alive pid=71968
[2025-10-02T05:07:41.985Z] HEARTBEAT alive pid=71968
[2025-10-02T05:08:41.986Z] HEARTBEAT alive pid=71968
[2025-10-02T05:09:41.986Z] HEARTBEAT alive pid=71968
[2025-10-02T05:10:42.010Z] HEARTBEAT alive pid=71968
[2025-10-02T05:11:42.012Z] HEARTBEAT alive pid=71968
[2025-10-02T05:12:42.014Z] HEARTBEAT alive pid=71968
[2025-10-02T05:13:42.016Z] HEARTBEAT alive pid=71968
[2025-10-02T05:14:42.018Z] HEARTBEAT alive pid=71968
[2025-10-02T05:15:42.019Z] HEARTBEAT alive pid=71968
[2025-10-02T05:16:42.020Z] HEARTBEAT alive pid=71968
[2025-10-02T05:17:42.022Z] HEARTBEAT alive pid=71968
[2025-10-02T05:18:42.024Z] HEARTBEAT alive pid=71968
[2025-10-02T05:19:42.025Z] HEARTBEAT alive pid=71968
[2025-10-02T05:20:42.026Z] HEARTBEAT alive pid=71968
[2025-10-02T05:21:42.028Z] HEARTBEAT alive pid=71968
[2025-10-02T05:22:42.028Z] HEARTBEAT alive pid=71968
[2025-10-02T05:23:42.029Z] HEARTBEAT alive pid=71968
[2025-10-02T05:24:42.030Z] HEARTBEAT alive pid=71968
[2025-10-02T05:25:42.032Z] HEARTBEAT alive pid=71968
[2025-10-02T05:26:42.033Z] HEARTBEAT alive pid=71968
[2025-10-02T05:27:42.035Z] HEARTBEAT alive pid=71968
[2025-10-02T05:28:42.036Z] HEARTBEAT alive pid=71968
[2025-10-02T05:29:42.037Z] HEARTBEAT alive pid=71968
[2025-10-02T05:30:42.039Z] HEARTBEAT alive pid=71968
[2025-10-02T05:31:42.041Z] HEARTBEAT alive pid=71968
[2025-10-02T05:32:42.043Z] HEARTBEAT alive pid=71968
[2025-10-02T05:33:42.044Z] HEARTBEAT alive pid=71968
[2025-10-02T05:34:42.046Z] HEARTBEAT alive pid=71968
[2025-10-02T05:35:42.047Z] HEARTBEAT alive pid=71968
[2025-10-02T05:36:42.049Z] HEARTBEAT alive pid=71968
[2025-10-02T05:37:42.051Z] HEARTBEAT alive pid=71968
[2025-10-02T05:38:42.052Z] HEARTBEAT alive pid=71968
[2025-10-02T05:39:42.055Z] HEARTBEAT alive pid=71968
[2025-10-02T05:40:42.040Z] HEARTBEAT alive pid=71968
[2025-10-02T05:41:42.041Z] HEARTBEAT alive pid=71968
[2025-10-02T05:42:42.042Z] HEARTBEAT alive pid=71968
[2025-10-02T05:43:42.044Z] HEARTBEAT alive pid=71968
[2025-10-02T05:44:42.044Z] HEARTBEAT alive pid=71968
[2025-10-02T05:45:42.045Z] HEARTBEAT alive pid=71968
[2025-10-02T05:46:42.047Z] HEARTBEAT alive pid=71968
[2025-10-02T05:47:42.049Z] HEARTBEAT alive pid=71968
[2025-10-02T05:48:42.051Z] HEARTBEAT alive pid=71968
[2025-10-02T05:49:42.052Z] HEARTBEAT alive pid=71968
[2025-10-02T05:50:42.053Z] HEARTBEAT alive pid=71968
[2025-10-02T05:51:42.055Z] HEARTBEAT alive pid=71968
[2025-10-02T05:52:42.057Z] HEARTBEAT alive pid=71968
[2025-10-02T05:53:42.057Z] HEARTBEAT alive pid=71968
[2025-10-02T05:54:42.059Z] HEARTBEAT alive pid=71968
[2025-10-02T05:55:42.060Z] HEARTBEAT alive pid=71968
[2025-10-02T05:56:42.061Z] HEARTBEAT alive pid=71968
[2025-10-02T05:57:42.063Z] HEARTBEAT alive pid=71968
[2025-10-02T05:58:42.065Z] HEARTBEAT alive pid=71968
[2025-10-02T05:59:42.067Z] HEARTBEAT alive pid=71968
[2025-10-02T06:00:42.068Z] HEARTBEAT alive pid=71968
[2025-10-02T06:01:42.070Z] HEARTBEAT alive pid=71968
[2025-10-02T06:02:42.072Z] HEARTBEAT alive pid=71968
[2025-10-02T06:03:42.073Z] HEARTBEAT alive pid=71968
[2025-10-02T06:04:42.075Z] HEARTBEAT alive pid=71968
[2025-10-02T06:05:42.077Z] HEARTBEAT alive pid=71968
[2025-10-02T06:06:42.078Z] HEARTBEAT alive pid=71968
[2025-10-02T06:07:42.080Z] HEARTBEAT alive pid=71968
[2025-10-02T06:08:42.088Z] HEARTBEAT alive pid=71968
[2025-10-02T06:09:42.089Z] HEARTBEAT alive pid=71968
[2025-10-02T06:10:42.095Z] HEARTBEAT alive pid=71968
[2025-10-02T06:11:42.096Z] HEARTBEAT alive pid=71968
[2025-10-02T06:12:42.098Z] HEARTBEAT alive pid=71968
[2025-10-02T06:13:42.100Z] HEARTBEAT alive pid=71968
[2025-10-02T06:14:42.101Z] HEARTBEAT alive pid=71968
[2025-10-02T06:15:42.102Z] HEARTBEAT alive pid=71968
[2025-10-02T06:16:42.103Z] HEARTBEAT alive pid=71968
[2025-10-02T06:17:42.104Z] HEARTBEAT alive pid=71968
[2025-10-02T06:18:42.106Z] HEARTBEAT alive pid=71968
[2025-10-02T06:19:42.106Z] HEARTBEAT alive pid=71968
[2025-10-02T06:20:42.108Z] HEARTBEAT alive pid=71968
[2025-10-02T06:21:42.108Z] HEARTBEAT alive pid=71968
[2025-10-02T06:22:42.110Z] HEARTBEAT alive pid=71968
[2025-10-02T06:23:42.111Z] HEARTBEAT alive pid=71968
[2025-10-02T06:24:42.113Z] HEARTBEAT alive pid=71968
[2025-10-02T06:25:42.114Z] HEARTBEAT alive pid=71968
[2025-10-02T06:26:42.114Z] HEARTBEAT alive pid=71968
[2025-10-02T06:27:42.116Z] HEARTBEAT alive pid=71968
[2025-10-02T06:28:42.116Z] HEARTBEAT alive pid=71968
[2025-10-02T06:29:42.118Z] HEARTBEAT alive pid=71968
[2025-10-02T06:30:42.118Z] HEARTBEAT alive pid=71968
[2025-10-02T06:31:42.120Z] HEARTBEAT alive pid=71968
[2025-10-02T06:32:42.121Z] HEARTBEAT alive pid=71968
[2025-10-02T06:33:42.122Z] HEARTBEAT alive pid=71968
[2025-10-02T06:34:42.124Z] HEARTBEAT alive pid=71968
[2025-10-02T06:35:42.124Z] HEARTBEAT alive pid=71968
[2025-10-02T06:36:42.125Z] HEARTBEAT alive pid=71968
[2025-10-02T06:37:42.126Z] HEARTBEAT alive pid=71968
[2025-10-02T06:38:42.126Z] HEARTBEAT alive pid=71968
[2025-10-02T06:39:42.128Z] HEARTBEAT alive pid=71968
[2025-10-02T06:40:42.125Z] HEARTBEAT alive pid=71968
[2025-10-02T06:41:42.126Z] HEARTBEAT alive pid=71968
[2025-10-02T06:42:42.127Z] HEARTBEAT alive pid=71968
[2025-10-02T06:43:42.128Z] HEARTBEAT alive pid=71968
[2025-10-02T06:44:42.129Z] HEARTBEAT alive pid=71968
